Basin,DESCRIPTION
FTBC1,Noyo - Ft Bragg
FTSC1,Eel - Fort Seward
PLBC1,Eel R - Lk Pillsbury
FRGC1,Littlejohns Ck - Farmington
MSGC1,Mormon Slough - Bellota
NHGC1,Calaveras - New Hogan Dam
THTC1,Mokelumne - Benson Ferry
CMCC1,Mokelumne - Camanche Dam
CMPC1,Mokelumne - Pardee Dam
EDOC1,NF Cosumnes - El Dorado
MCNC1,Cosumnes - McConnell
SOSC1,MF Cosumnes - Somerset
MHBC1,Cosumnes - Michigan Bar
SACC1,Sacramento - Sacramento I Street
SAMC1,American - H Street
RVBC1,Sacramento Delta - Rio Vista Bridge
BOYO3,Klamath blw JC Boyle Dam
BTYO3,Sprague R - Beatty
BURC1,Trinity R nr Burnt Ranch
CEGC1,Trinity R at Clair Engle Reservoir
CHSO3,Sprague nr Chiloquin
CKEC1,Lost R - Clear Lake
FTJC1,Scott - Fort Jones
GERO3,Gerber Reservoir
HAPC1,Indian Ck - Happy Camp
HOOC1,Trinity R @ Hoopa
HYMC1,SF Trinity - Hyampom
IRGC1,Klamath - Iron Gate Dam
KELO3,Lost R - Keller Bridge
KEOO3,Klamath River at Keno
KLAO3,Upper Klamath Lake
KLMC1,Klamath - Turwar Creek
LEWC1,Trinity - Lewiston Reservoir
ONSC1,Klamath - Orleans
SBRC1,Salmon - Somes bar
SCNO3,Sycan R - Beatty
SEIC1,Klamath - Seiad Valley
SFYC1,SF Trinity nr Hyampon
TRJC1,Trinity - Junction City
WKAO3,Williamson R nr Agency
WMSO3,Williamson - blo Sprague River
YREC1,Shasta nr Yreka
HETC1,Tuolomne - Hetch Hetchy Dam
GSJC1,Guadalupe River abv Hwy 101 - San Jose
GUAC1,Guadalupe Ck - Guadalupe Rsvr
GUDC1,Guadalupe R - Almaden Expressway
CADC1,Calero Ck - Calero Rsvr
ALRC1,Alamitos Ck - Almaden Rsvr
LEXC1,Los Gatos Ck - Lexington Res
ANTC1,Antelope Lake - Taylorsville nr
BSCC1,Big Sulphur Ck - Cloverdale nr
BTJC1,Big Tujunga Cyn - Big Tujunga Dam
CTIC1,Laguna De Santa Rosa - Stony Pt Rd
DVSC1,Lake Davis - Portola nr
FHDC1,Little Last Chance Ck - Frenchman Lk
GEYC1,Russian R - Geyserville
HANC1,Hansen Dam
LBDC1,Los Banos Dam
LSEC1,Laguna De Santa Rosa - Sebastopol nr
MFPC1,MF American - Abv Middle Fork Powerhouse
MRWC1,Mokelumne R - Woodbridge
MWEC1,Mark West Ck - Mirabel Heights
RADC1,Ruth Lake
RMKC1,Maacama Ck - Kellogg
SSAC1,Santa Rosa Ck - Santa Rosa
TCCC1,Trinity - Coffee Ck above
TVRC1,SF Tule - Reservation Boundary
